"channel","type"
"0x0 Fireplace HD","Развлекательные"
"0x0 Music HD","Музыка"
"1 MUSIC CHANNEL","Музыка"
"1 TV Georgia","Иностранные"
"1 мистический HD","Фильмы"
"1+1 (Int.)","Украинские"
"1+1 International","Украинские"
"1+1","Украинские"
"10 Eser","Иностранные"
"100% Automoto","Иностранные"
"100% News UA","Украинские"
"100% News","Познавательные"
"11 канал HD (Пенза)","Региональные"
"112 Украина HD","Украинские"
"112 Украина","Украинские"
"12 Keshet Israel","Иностранные"
"12 канал (Омск)","Региональные"
"15 TV (Spain)","Иностранные"
"1HD Music TV","Музыка"
"1HD","Музыка"
"1Music (HU)","Музыка"
"1Music (Hungary)","Иностранные"
"1Music (Молдова)","Молдова"
"1Music Channel Hungary","Музыка"
"1st Baltic Music","Музыка"
"2+2","Украинские"
"21 канал (Ужгород)","Украинские"
"21 канал Ужгород [UA]","Украинские"
"213 TV (SK)","Спорт"
"24 Horas (Испания)","Иностранные"
"24 Noticias","Иностранные"
"24 канал HD","Украинские"
"24 канал","Украинские"
"24 Новости","Украинские"
"24H TV","Иностранные"
"26 Регион (Ставрополь)","Украинские"
"2x2 (+2)","Развлекательные"
"2x2 (+4)","Развлекательные"
"2x2 (+7)","Развлекательные"
"2x2","Развлекательные"
"3+ (Latvia)","Иностранные"
"31 Канал (KZ)","Казахстан"
"31 канал (Казахстан)","Казахстан"
"31 Канал","Казахстан"
"324 NOTICIES","Иностранные"
"33 канал (Хмельницкий)","Украинские"
"33 канал (Хмельницький)","Украинские"
"33 канал","Украинские"
"34 канал","Украинские"
"360 (Сургут)","Региональные"
"360 (Ярославль)","Региональные"
"360 HD","Познавательные"
"360 North","Региональные"
"360 Новости HD","Новостные"
"360 Новости","Новостные"
"360 Ярославль","Региональные"
"360","Познавательные"
"360° HD","Познавательные"
"360° Новости HD","Новостные"
"360° Подмосковье HD","Региональные"
"360° Подмосковье","Региональные"
"360°","Познавательные"
"365 дней","Познавательные"
"365","Познавательные"
"3ABN Kidz (USA)","Иностранные"
"3News (NZ)","Региональные"
"3Sat","Иностранные"
"4 канал HD UA","Украинские"
"4 канал Украина HD","Украинские"
"43 HD","Региональные"
"43 канал HD","Региональные"
"47 канал (Санкт-Петербург)","Региональные"
"49 канал (Новосибирск)","Региональные"
"4fun Dance","Музыка"
"4Fun Gold Hits","Музыка"
"4Fun TV","Иностранные"
"4TV (Украина)","Украинские"
"5 канал (Украина)","Украинские"
"5 канал UA","Украинские"
"5 канал","Украинские"
"538 TV","Иностранные"
"66 канал (Израиль)","Иностранные"
"7 TV","Региональные"
"7 канал (KZ)","Казахстан"
"7 канал (Казахстан)","Казахстан"
"7 канал (Одесса)","Украинские"
"7 канал HD (Одесса)","Украинские"
"78 HD","Региональные"
"78 канал HD","Новостные"
"78 канал","Новостные"
"7TV HD Murcia","Региональные"
"7TV","Региональные"
"7ТВ","Развлекательные"
"8 TV (Латино)","Иностранные"
"8 Канал (Int.)","Общественные"
"8 канал (Беларусь)","Белорусские"
"8 Канал (Европа)","Общественные"
"8 Канал (Красноярск)","Региональные"
"8 Канал (Красноярский край)","Общественные"
"8 канал (Новосибирск)","Региональные"
"8 канал (Россия)","Общественные"
"8 канал int","Общественные"
"8 канал","Общественные"
"86 канал (Сургут)","Региональные"
"9 канал HD (Израиль)","Региональные"
"A1 HD","Фильмы"
"A1","Фильмы"
"A2 (Резерв)","Фильмы"
"A2","Фильмы"
"ABP Hindi vijesti","Иностранные"
"Abu Dhabi Drama","Иностранные"
"Abu Dhabi TV HD","Иностранные"
"ACB TV","Региональные"
"Accent TV","Иностранные"
"Actualitatea TV","Региональные"
"AD Sport 1 HD","Спорт"
"AD Sport 2 HD","Спорт"
"Ajara TV HD (Georgia)","Иностранные"
"Akudji HD","Развлекательные"
"Akudji TV HD (Резерв)","Развлекательные"
"Akudji TV HD","Развлекательные"
"Al Aqsa (Arabian)","Иностранные"
"Al Arabiya","Иностранные"
"Al Jazeera Documentary","Иностранные"
"Al Jazeera English","Иностранные"
"Al Kass Sports 1","Спорт"
"Al Kass Sports 4","Спорт"
"Al Kass Sports 5","Спорт"
"Al Rai","Иностранные"
"Al-Manar","Общественные"
"ALB MUSIC","Музыка"
"AlfaoMega TV","Религиозные"
"Allgaeu TV HD","Региональные"
"Almaty TV (KZ)","Казахстан"
"Alpha Media","Региональные"
"AMC","Фильмы"
"Amedia Hit HD","Фильмы"
"Amedia Hit","Фильмы"
"Amedia Premium HD","Фильмы"
"Amedia Premium","Фильмы"
"American Embassy TV Network","Иностранные"
"Amga tv","Магазин"
"Analai Express HD","Региональные"
"Ani","Детские"
"Animal Planet HD","Познавательные"
"Animal Planet","Познавательные"
"Animaux","Региональные"
"Anixe","Иностранные"
"Anyday 3D","Развлекательные"
"Anyday HD","Развлекательные"
"Arabica TV","Иностранные"
"ARD Das Erste","Иностранные"
"ARIANA TV Afganistan","Иностранные"
"Arirang","Иностранные"
"Armenia 1 Satellite HD","Армянские"
"Armenia TV Satellite","Армянские"
"Astana TV","Казахстан"
"Astrakhan.Ru live","Региональные"
"astro AWANI (Индонезия)","Иностранные"
"Atameken (KZ)","Казахстан"
"Atameken TV (KZ)","Казахстан"
"ATR","Украинские"
"ATV (Венгрия)","Иностранные"
"ATV Azerbaycan","Иностранные"
"Augsburg TV HD","Иностранные"
"Aurora TV","Музыка"
"AXN (Bulgaria)","Иностранные"
"AXN White (Bulgaria)","Иностранные"
"Az TV","Иностранные"
"Azteca Trece","Региональные"
"Babes TV HD","Для взрослых"
"Babestation","Магазин"
"Baby TV","Детские"
"Backus TV HD","Фильмы"
"Backus TV Страшное","Фильмы"
"BackusTV Страшное ","Фильмы"
"BackusTV Страшное","Фильмы"
"BackusTV","Фильмы"
"Balti TV (Moldova)","Молдова"
"Balti TV (Молдова) [FHD]","Молдова"
"Balti TV HD (Moldova)","Молдова"
"Bambarbia TV [HD]","Украинские"
"Bambarbia TV","Украинские"
"Bazar TV (KZ)","Казахстан"
"BB-MV Lokal-TV","Иностранные"
"BBC Arabic","Иностранные"
"BBC Brit HD (Polska)","Иностранные"
"BBC Earth HD (Polska)","Иностранные"
"BBC HD (Nordic)","Иностранные"
"BBC Iran","Иностранные"
"BBC Lifestyle HD (Polska)","Иностранные"
"BBC World News","Иностранные"
"BBC","Иностранные"
"Beatz","Музыка"
"Beblack Africa","Музыка"
"Beblack Caribbean","Музыка"
"Beblack Classik","Музыка"
"Belsat TV","Иностранные"
"BEST Films HD","Фильмы"
"BFM Business (France)","Иностранные"
"BFM Paris","Иностранные"
"BHTV (Латино)","Музыка"
"BIM TV (Казань)","Музыка"
"BIM TV","Музыка"
"BISER","Музыка"
"BiT (Bulgaria)","Иностранные"
"Bloomberg","Иностранные"
"Blue Hustler","Для взрослых"
"BlueGrass Music 4U","Музыка"
"BNTV Bosnia","Иностранные"
"Bollywood HD","Индия"
"Bonum TV","Региональные"
"Boomerang","Детские"
"Boomerаng TV","Детские"
"Boutique TV (RU)","Магазин"
"Boutique TV (Россия)","Магазин"
"Boutique TV","Магазин"
"BPTV 1","Иностранные"
"BPTV 2","Иностранные"
"BR HD","Региональные"
"Brain TV HD","Украинские"
"Brazzers TV Europe","Для взрослых"
"Brazzers TV","Для взрослых"
"BRIDGE HD","Музыка"
"BRIDGE TV CLASSIC","Музыка"
"BRIDGE TV DANCE","Музыка"
"BRIDGE TV Русский хит","Музыка"
"BRIDGE TV","Музыка"
"Brodilo HD","Познавательные"
"Brodilo TV HD","Познавательные"
"Brodilo TV","Познавательные"
"Bronxnet Channel","Региональные"
"BTV (Moldova)","Региональные"
"Buy Home TV HD","Магазин"
"Buy Home TV","Магазин"
"C Music TV HD","Музыка"
"C-Span (USA)","Иностранные"
"C-Span 2 (USA)","Иностранные"
"C-Span 3 (USA)","Иностранные"
"California Music Channel","Музыка"
"Canal 25 (Латино)","Иностранные"
"Canal 4 Tenerife","Иностранные"
"CANAL CNC MEDELLIN HD","Иностранные"
"Canal Congreso","Иностранные"
"Canal Japanet DX","Иностранные"
"Canal Once","Иностранные"
"Canal Savoir (Франция)","Иностранные"
"Candy HD","Для взрослых"
"Candy","Для взрослых"
"Cannali TV","Музыка"
"Capital TV HD","Музыка"
"Capital TV","Музыка"
"CARINA TV (Italia)","Иностранные"
"Cars & Stars TV HD","Музыка"
"Cartoon Network HD ","Детские"
"Cartoon Network","Детские"
"Catve FM","Музыка"
"CBC Sport HD","Спорт"
"CBC TV","Иностранные"
"CBN (USA)","Иностранные"
"CBN Espanol","Иностранные"
"CBS News HD","Иностранные"
"CBS Reality","Развлекательные"
"CCTV4","Иностранные"
"CentoXCento TV","Для взрослых"
"CGTN Documentary","Иностранные"
"CGTN Espanol","Иностранные"
"CGTN Русский","Общественные"
"CGTN","Иностранные"
"Channel 20 (Israel)","Иностранные"
"Channel 21","Иностранные"
"Channel AKA","Музыка"
"Channels 24","Иностранные"
"CHAUla.tv","Музыка"
"China Business Network","Иностранные"
"Cinema HD (Космос ТВ)","Фильмы"
"Cinema TV (Космос ТВ)","Фильмы"
"Cinema","Фильмы"
"CITY TV (BG)","Иностранные"
"CITY TV (Одесса)","Украинские"
"City tv","Иностранные"
"Clik TV HD","Музыка"
"Clubbing TV HD","Музыка"
"CMC CALIFORNIA MUSIC CHANNEL","Музыка"
"CMC-USA COUNTRY MUSIC CHANNEL","Музыка"
"CNC World","Иностранные"
"CNN International","Иностранные"
"Comedy Central Austria","Иностранные"
"Comedy TV Georgia","Иностранные"
"Country Music 4U","Музыка"
"Coutry Music","Музыка"
"Credo TV","Религиозные"
"Crete TV (Greece)","Иностранные"
"Da Vinci Learning","Познавательные"
"Da Vinci","Познавательные"
"DD Lok Sabha","Иностранные"
"DD Punjabi","Иностранные"
"DeeJay TV","Музыка"
"Delta TV (Латино)","Музыка"
"Deluxe Music","Музыка"
"Deutsche Welle (Indonesia)","Иностранные"
"Deutsche Welle","Иностранные"
"Deutsches Musik Fernsehen","Музыка"
"Diema Family (Bulgaria)","Иностранные"
"Discovery (Bulgaria)","Иностранные"
"Discovery Channel HD","Познавательные"
"Discovery Channel","Познавательные"
"Discovery Historia Polska","Иностранные"
"Discovery Science HD","Познавательные"
"Discovery Science","Познавательные"
"Discovery Scienсe HD","Познавательные"
"Discovery Showcase hd","Познавательные"
"Disney Channel (+2)","Детские"
"Disney Channel (+4)","Детские"
"Disney Channel (+7)","Детские"
"Disney Channel Deutschland","Детские"
"Disney Channel","Детские"
"Djing Animation","Музыка"
"Djing Avicii","Музыка"
"Djing Classic","Музыка"
"Djing Classics","Музыка"
"Djing Electro Rock","Музыка"
"Djing French touch","Музыка"
"Djing Hedonist","Музыка"
"Djing Ibiza","Музыка"
"Djing Karaoke","Музыка"
"Djing Summer Vibes","Музыка"
"Djing Trick","Музыка"
"Djing TV","Музыка"
"Djing Underground","Музыка"
"DMAX Austria","Иностранные"
<<<<<<< HEAD
"Docent_13","Неизвестная"
"Docent","Неизвестная"
=======
"Docent","Познавательные"
>>>>>>> 15dc24325ead5b8887cab0a0358ce58b95626775
"DocuBox","Познавательные"
"Dog TV","Развлекательные"
"Dream Turk","Музыка"
"Dream TV","Музыка"
"Drotv HD","Иностранные"
"DTX HD","Познавательные"
"DTX","Познавательные"
"Dubai One HD","Иностранные"
"Dubai Sport TV","Спорт"
"Dubai Sports 2","Спорт"
"Dubai TV HD","Иностранные"
"Dubai Zaman","Иностранные"
"Duga Plus","Музыка"
"Dunya TV","Иностранные"
"DUOC UC AE RADIO","Иностранные"
"Dusk TV","Для взрослых"
"DW TV English","Иностранные"
"DW","Иностранные"
"E TV HD","Развлекательные"
"E TV","Развлекательные"
"E! Entertainment TV","Иностранные"
"Emarat HD","Иностранные"
"En TV (Энергодар)","Украинские"
"English Club TV","Иностранные"
"Enlace Juvenil TV","Музыка"
"Enter-фильм","Украинские"
"Epoque HD","Познавательные"
"Epoque","Познавательные"
"Erkir Media TV","Фильмы"
"EROX (HD)","Для взрослых"
"ertsulovneba (Грузия)","Иностранные"
"ESKA BEST MUSIC TV","Музыка"
"ESKA PARTY TV","Музыка"
"Eska Rock TV","Музыка"
"ESKA Wawa TV","Музыка"
"ESTV TV HD (Латино)","Музыка"
"ETV","Иностранные"
"ETV2","Иностранные"
"EU Music HD","Музыка"
"Eurochannel","Фильмы"
"EuroNews France","Иностранные"
"EuroNews German","Иностранные"
"EuroNews Greek","Иностранные"
"EuroNews Italian","Иностранные"
"Euronews","Новостные"
"Europa Plus TV (Беларусь)","Музыка"
"Europa Plus TV","Музыка"
"Eurosport 1 Deutschland","Спорт"
"Eurosport 1 HD","Спорт"
"Eurosport 1","Спорт"
"Eurosport 2 (Bulgaria)","Спорт"
"Eurosport 2 HD","Спорт"
"Eurosport 2","Спорт"
"Eurosport Gold HD","Спорт"
"Eurosport Gold","Спорт"
"Eurosport News","Новостные"
"EvilAngel","Для взрослых"
"Evine Live (USA)","Магазин"
"EWTN - Katholisches Fernsehen","Религиозные"
"EWTN UK and Ireland","Религиозные"
"EWTN Ukraine","Украинские"
"Extreme Sports","Спорт"
"EТV+","Украинские"
"Familia Domashniy","Иностранные"
"FAP TV 2 HD","Для взрослых"
"FAP TV 2","Для взрослых"
"FAP TV 3","Для взрослых"
"FAP TV 4","Для взрослых"
"FAP TV Amateur","Для взрослых"
"FAP TV Anal","Для взрослых"
"FAP TV BBW","Для взрослых"
"FAP TV Compilation","Для взрослых"
"FAP TV Gay","Для взрослых"
"FAP TV Legal Porno","Для взрослых"
"FAP TV Lesbian","Для взрослых"
"FAP TV Older","Для взрослых"
"FAP TV Parody","Для взрослых"
"FAP TV Pissing","Для взрослых"
"FAP TV Shemale","Для взрослых"
"FAP TV Teaching","Для взрослых"
"FAP TV Teens","Для взрослых"
"FAP TV Trans","Для взрослых"
"FAP TV UHD 4K","Для взрослых"
"Fashion One HD","Мода"
"Fashion TV HD","Мода"
"Fashion TV","Мода"
"FashionBox","Мода"
"Fast and FunBox HD","Развлекательные"
"Fast and FunBox","Развлекательные"
"FightBox HD","Спорт"
"FightBox","Спорт"
"FilMaX TV HD","Иностранные"
"FilmBox Action","Иностранные"
"FilmBox Arthouse Rus","Фильмы"
"FilmBox Arthouse","Фильмы"
"FilmBox Family","Фильмы"
"Filmbox Premium Polska","Иностранные"
"FilmBox","Фильмы"
"FilmMaX TV","Фильмы"
"FILMUADRAMA HD","Украинские"
"FILMUADRAMA","Украинские"
"Fine Living Network","Познавательные"
"Fix HD","Иностранные"
"Fjorton HD","Музыка"
"FJORTON","Музыка"
"FM ТВ (Симферополь)","Региональные"
"Food Network HD","Кухня"
"Food Network","Кухня"
"Foodman Club TV HD","Кухня"
"Fox Crime (Bulgaria)","Иностранные"
"FOX HD","Фильмы"
"FOX Life HD","Фильмы"
"FOX Life","Фильмы"
"FOX","Фильмы"
"France 24 English","Иностранные"
"France 24 HD","Иностранные"
"France 24","Иностранные"
"FrenchLover TV","Для взрослых"
"Fresh TV","Музыка"
"FreshTV","Музыка"
"Fuel TV HD","Мужские"
"G TV (Одесса)","Иностранные"
"Gakku TV","Казахстан"
"Gakku","Казахстан"
"Galaxy TV","Познавательные"
"Galaxy","Познавательные"
"Game Show HD","Развлекательные"
"Game Show","Развлекательные"
"GamEshow","Развлекательные"
"Gametoon (HD)","Развлекательные"
"GDS TV","Музыка"
"Global Star TV","Развлекательные"
"Global Star","Развлекательные"
"God TV UK","Религиозные"
"Golf Channel Polska HD","Спорт"
"GTV (Одесса)","Украинские"
"Gulli Girl","Детские"
"Gulli","Детские"
"h1 Прилеп (Macedonia)","Иностранные"
"H2 HD (Polska)","Иностранные"
"H2 HD","Познавательные"
"HardLife TV","Музыка"
"HardLife","Музыка"
"HBO (Bulgaria)","Иностранные"
"HBO 2 HD (Polska)","Иностранные"
"HBO 3 HD (Polska)","Иностранные"
"HD Fashion & Lifestyle UA","Мода"
"HD Fashion & LifeStyle","Мода"
"HD Fashion UA","Украинские"
"HD Life","Познавательные"
"HD Media 3D","Познавательные"
"HD Media","Познавательные"
"HDL","Познавательные"
"HDmusic","Музыка"
"HDrelax","Развлекательные"
"Heart TV HD","Музыка"
"Heart TV","Музыка"
"Heart","Музыка"
"Heavy Metal Television","Музыка"
"Heavy Metal TV","Музыка"
"History Channel Europe","Иностранные"
"History HD","Познавательные"
"History","Познавательные"
"HIT (Орск)","Музыка"
"HiT Music Channel","Музыка"
"Hit Music","Музыка"
"HIT TV (ESP)","Музыка"
"HIT TV Channel (KZ)","Казахстан"
"Hit TV","Музыка"
"HITV HD","Музыка"
"HITV","Музыка"
"HIТV HD","Музыка"
"Hope TV","Музыка"
"HSE 24 Extra","Иностранные"
"Hustler HD","Для взрослых"
"IB3 TV","Иностранные"
"iConcerts HD","Музыка"
"Ictimai TV","Иностранные"
"ICTV","Украинские"
"ID Fashion (KZ)","Казахстан"
"ID Fashion HD","Мода"
"ID Fashion UA HD","Мода"
"ID Investigation Discovery","Познавательные"
"ID Xtra HD","Познавательные"
"ID Xtra","Познавательные"
"Ideal World","Магазин"
"Idman TV","Спорт"
"ILand (ISR)","Религиозные"
"ILand TV HD (ISR)","Религиозные"
"ILand","Религиозные"
"Imedi TV HD (Georgia)","Иностранные"
"In Life BG","Иностранные"
"InterAz","Иностранные"
"Ionian Channel (Greece)","Иностранные"
"Islam Channel","Религиозные"
"IZ.RU HD","Новостные"
"IZ.RU","Новостные"
"Jasmin TV","Для взрослых"
"JimJam","Детские"
"JML Direct Shop","Иностранные"
"JOJ FAMILY HD (Словакия)","Иностранные"
"JOJ HD (Словакия)","Иностранные"
"JOJ PLUS HD (Словакия)","Иностранные"
"Jurnal TV","Иностранные"
"K3 (Bulgaria)","Иностранные"
"Kahkeshan TV","Иностранные"
"Kan 11 (Israel)","Иностранные"
"Kanal 11 (Estonia)","Иностранные"
"Kanal 9 (Sweden)","Иностранные"
"Kanals 2 (Latvia)","Иностранные"
"Kanаl 2","Иностранные"
"Kazakh TV (RU)","Казахстан"
"Kazakh TV","Казахстан"
"KazSport","Спорт"
"KBS World HD","Иностранные"
"KIDS FM TV","Детские"
"KidZone Baltic","Детские"
"KiKa","Детские"
"Kino 24","Фильмы"
"Kino Polska Muzyka","Музыка"
"KinoTV Polska","Иностранные"
"Klipkar TV","Музыка"
"Klipklar TV Music","Музыка"
"KRATU (Херсон)","Украинские"
"KRATU","Украинские"
"Kronehit HD","Музыка"
"Kronehit TV HD","Музыка"
"KTV 1","Иностранные"
"KTV Al Arabi","Иностранные"
"La 1 (Испания)","Иностранные"
"La Sexta (Испания)","Иностранные"
"Lale","Иностранные"
"Lampsi TV (Greece)","Иностранные"
"Lancelot TV (Латино)","Иностранные"
"Leomax","Магазин"
"Libya TV","Иностранные"
"Lider TV","Иностранные"
"Life HD","Новостные"
"Livechannel","Для взрослых"
"London Live","Познавательные"
"LOST HD","Фильмы"
"LRT KULTURA","Иностранные"
"LRT Lituanica","Иностранные"
"LTV 1","Иностранные"
"LTV World","Иностранные"
"Luxury TV","Развлекательные"
"Luxury","Познавательные"
"M-1 Global HD","Спорт"
"M-1 Global TV [FHD]","Спорт"
"M2o TV Music","Музыка"
"M2O TV","Иностранные"
"Maestro (Georgia)","Иностранные"
"Mango TV","Магазин"
"Marao (Georgia)","Иностранные"
"Maxxi-TV","Украинские"
"MCM TOP","Музыка"
"Medeniyyet TV","Иностранные"
"MediaShop","Магазин"
"Melody TV","Музыка"
"Metal TV","Музыка"
"Metro","Иностранные"
"Mezzo Live HD","Музыка"
"Mezzo","Музыка"
"MGM HD","Фильмы"
"Mi Lady","Украинские"
"Milliy TV","Иностранные"
"Mnogo TV - Fantasy (Беларусь)","Белорусские"
"Mnogo TV - Kids TV (Беларусь)","Белорусские"
"Mnogo TV - Первый Мистический (Беларусь)","Белорусские"
"Mnogo TV - Познавательное ТВ (Беларусь)","Белорусские"
"Mnogo TV (Беларусь)","Белорусские"
"Moldova 1","Иностранные"
"Moldova 2","Иностранные"
"Mooz Dance","Музыка"
"Mooz HD","Музыка"
"Mooz Hits","Музыка"
"Mooz RO!","Музыка"
"Most Video 1 (Украина)","Украинские"
"Most Video TV HD","Спорт"
"MostVideo.TV","Украинские"
"Motors TV","Мужские"
"Movies4Men (+1)","Иностранные"
"Movies4Men","Иностранные"
"MSNBC HD","Иностранные"
"MTA International","Иностранные"
"MTV (Norg)","Музыка"
"MTV (Уфа)","Региональные"
"MTV Dance","Музыка"
"MTV HD","Музыка"
"MTV Hits","Музыка"
"MTV Lebanon","Общественные"
"MTV Live HD","Музыка"
"MTV Mix (Уфа)","Региональные"
"MTV Rocks","Музыка"
"MTV Russia HD","Музыка"
"MTV Russia","Музыка"
"MTV Россия","Музыка"
"Museum HD","Познавательные"
"Music Box Gold","Музыка"
"Music Box RU HD","Музыка"
"Music Box RU","Музыка"
"Music Box UA","Украинские"
"Music Box","Музыка"
"Music Choice 90s","Музыка"
"Music Choice Alternative","Музыка"
"Music Choice Brits Hits","Музыка"
"Music Choice Dance EDM","Музыка"
"Music Choice HIP HOP RanB","Музыка"
"Music Choice Hit List","Музыка"
"Music Choice INDIE","Музыка"
"Music Choice KIDS ONLY","Музыка"
"Music Choice METAL","Музыка"
"Music Choice Mexicana","Музыка"
"Music Choice MUSICA URBANA","Музыка"
"Music Choice Pop Country","Музыка"
"Music Choice Pop Hits","Музыка"
"Music Choice POP LATINO","Музыка"
"Music Choice RanB SOUL","Музыка"
"Music Choice Rap","Музыка"
"Music Choice ROCK","Музыка"
"Music Choice Teen Beats","Музыка"
"Music Choice Today","Музыка"
"Music Choice Toddler Tunes","Музыка"
"Music Choice Tropicales","Музыка"
"Music Choice Y2K RAP","Музыка"
"Music Choice Y2K","Музыка"
"Music Choice","Музыка"
"Music Vox TV Olds Cool","Музыка"
"Music Vox TV","Музыка"
"MusicBox (Georgia)","Музыка"
"MusicBox (Slovakia)","Музыка"
"MUSICBOX RU HD","Музыка"
"MUSICBOX RU","Музыка"
"MUSICBOX UA HD","Музыка"
"MUSICBOX UA","Музыка"
"MUSICBOX","Музыка"
"Muzlife TV (KZ)","Казахстан"
"Muzlife","Музыка"
"MuzzOne","Музыка"
"myZen.tv HD","Спорт"
"MyНits","Музыка"
"N-TV","Иностранные"
"N24 Austria","Иностранные"
"N24 Doku","Иностранные"
"N4 TV","Иностранные"
"Nano HD","Познавательные"
"Nano TV HD","Познавательные"
"Nano TV","Познавательные"
"Nano","Новостные"
"NASA TV Public","Иностранные"
"Nat Geo (Bulgaria)","Иностранные"
"Nat Geo Wild (Bulgaria)","Иностранные"
"Nat Geo Wild HD","Познавательные"
"Nat Geo Wild","Познавательные"
"Nat Geo","Иностранные"
"National Geographic Abu Dhabi HD","Иностранные"
"National Geographic HD","Познавательные"
"National Geographic Polska","Познавательные"
"National Geographic","Познавательные"
"Nautical Channel","Познавательные"
"Nautical Channеl HD","Спорт"
"NBA TV","Спорт"
"NEBISET TV","Музыка"
"Nebiset","Музыка"
"New Generation (Greece)","Музыка"
"News Network","Украинские"
"NewsOne HD","Украинские"
"NewsOne TV [FHD]","Украинские"
"NewsOne","Украинские"
"NEX TV (Spain)","Развлекательные"
"NFL Now","Иностранные"
"NHK (Japan)","Иностранные"
"NHK World TV","Познавательные"
"NHK World","Иностранные"
"Nick Austria","Детские"
"Nick Jr.","Детские"
"Nick Jr","Детские"
"Nickelodeon HD","Детские"
"Nickelodeon","Детские"
"NickToons","Детские"
"Nobel TV (Днепр)","Украинские"
"Nova (Bulgaria)","Иностранные"
"NOVA TV (Bulgaria)","Иностранные"
"NR1","Музыка"
"NRJ Hits TV HD","Музыка"
"NRJ Hits","Музыка"
"NRJ TV","Музыка"
"NRK 1","Иностранные"
"Nrwision HD","Иностранные"
"NTD TV","Иностранные"
"NTV Moldova (Молдова)","Молдова"
"NTV TURKIYE HD","Иностранные"
"Nuart TV","Для взрослых"
"O la la","Для взрослых"
"O-la-la","Для взрослых"
"O-TV","Украинские"
"Obieqtivi TV","Иностранные"
"OBOZ TV","Украинские"
"Ocean TV","Познавательные"
"Ocean-TV","Познавательные"
"Ocko Expres","Музыка"
"Ocko Star","Музыка"
"Ocko TV Expres","Музыка"
"Ocko TV Gold","Музыка"
"Ocko TV Mixer","Музыка"
"Ocko TV","Музыка"
"Ocko","Музыка"
"Odessa Fashion","Украинские"
"Olive TV","Религиозные"
"Olvia (Одесса)","Украинские"
"Olympic Channel HD","Спорт"
"Omega (Iceland)","Религиозные"
"Omroep Zeeland","Иностранные"
"ON! Пятница","Казахстан"
"Onda Cadiz (Латино)","Иностранные"
"Oromar TV (Латино)","Иностранные"
"OTV Music","Музыка"
"OTV","Региональные"
"Outdoor Channel HD","Познавательные"
"Outdoor HD","Познавательные"
"Outdoor","Познавательные"
"Paramount Channel HD","Фильмы"
"Paramount Channel","Фильмы"
"Paramount Comedy HD","Фильмы"
"Paramount Comedy","Фильмы"
"PassionXXX","Для взрослых"
"Peace TV","Религиозные"
"Pearl TV","Магазин"
"PGCPS","Иностранные"
"Phoenix CNE","Иностранные"
"Phoenix Marie TV","Для взрослых"
"Pink O TV","Для взрослых"
"Play Channel","Музыка"
"Playboy TV","Для взрослых"
"Polo PARTY TV","Музыка"
"Polonia 1","Иностранные"
"Polsat 2 HD","Иностранные"
"Polsat Cafe HD","Иностранные"
"Polsat Film","Иностранные"
"Polsat HD","Иностранные"
"Polsat News 2","Иностранные"
"Polsat News HD","Иностранные"
"Polsat Play HD","Иностранные"
"Polsat Sport Extra","Спорт"
"Polsat Sport","Спорт"
"Polsat","Иностранные"
"PORTALFOXMIX TV","Музыка"
"Power HD","Музыка"
"PowerTurk HD","Музыка"
"Private HD","Для взрослых"
"Pro 100 TV","Фильмы"
"Pro TV Chisinau","Иностранные"
"Pro TV News","Иностранные"
"Pro Все","Украинские"
"Pro100 TV","Фильмы"
"Propeller TV","Иностранные"
"Public TV","Общественные"
"PZN Stream","Спорт"
"PZN Streams Footbal","Спорт"
"PZN Streams","Спорт"
"QMusic","Музыка"
"QTV","Украинские"
"QVC Beauty and Style","Иностранные"
"QVC Deutschland","Иностранные"
"Radio 105 Network TV","Музыка"
"Radio 105 TV","Музыка"
"Radio 51 TV","Музыка"
"Radio Bruno","Музыка"
"Radio Capital TV","Музыка"
"Radio Contact TV","Музыка"
"Radio Linea N1 HD","Музыка"
"Radio Monte Carlo TV","Музыка"
"Radio Number One TV","Музыка"
"Radio Taormina","Музыка"
"RadioU","Музыка"
"Rai 1","Иностранные"
"Rai 2","Иностранные"
"Rai 3","Иностранные"
"Rai 4","Иностранные"
"Rai 5","Иностранные"
"Rai Guip HD","Иностранные"
"Rai Movie","Иностранные"
"Rai News 24","Иностранные"
"Rai Premium","Иностранные"
"Rai Scuola","Иностранные"
"Rai Storia","Иностранные"
"Rai Yoyo","Иностранные"
"RaiNews 24","Иностранные"
"Ran 1 TV (Germany)","Иностранные"
"Real Madrid TV (Испания)","Спорт"
"Real Madrid TV","Спорт"
"Red Bull TV","Спорт"
"Red Bull","Спорт"
"Redlight HD","Для взрослых"
"Relax.TV","Развлекательные"
"Renome (Одесса)","Украинские"
"RENOME","Познавательные"
"Retro Music TV","Музыка"
"RETRO TV","Музыка"
"Revelation TV","Религиозные"
"Ribera TV (Spain)","Иностранные"
"RIGA 24 TV (Latvia)","Иностранные"
"RIK HD (Словакия)","Иностранные"
"Ritsa TV","Музыка"
"RMC TV","Музыка"
"Rock Nacional","Музыка"
"RT HD","Иностранные"
"RT Документальный HD","Иностранные"
"RTG HD","Познавательные"
"RTG TV HD","Познавательные"
"RTG","Познавательные"
"RTI HD","Украинские"
"RTI","Украинские"
"RTK1","Иностранные"
"RTK3","Иностранные"
"RTK4","Иностранные"
"RTL 102.5 TV","Музыка"
"RTL 2 Austria","Иностранные"
